Sydney|-33.86,151.21,38|+4.8|Rain|2014-01-01 22:11:16|752.1|78
Sydney|-33.86,151.21,38|+14.0|Sunny|2014-01-02 13:25:42|868.5|13
Sydney|-33.86,151.21,38|+5.8|Sunny|2014-01-03 11:32:24|744.5|22
Sydney|-33.86,151.21,38|+6.8|Rain|2014-01-04 09:42:41|978.2|89
Sydney|-33.86,151.21,38|+12.1|Sunny|2014-01-05 23:51:15|747.4|43
Sydney|-33.86,151.21,38|-2.1|Snow|2014-01-06 06:08:13|810.4|13
Sydney|-33.86,151.21,38|+7.5|Sunny|2014-01-07 06:05:05|814.7|45
Sydney|-33.86,151.21,38|+13.1|Rain|2014-01-08 01:00:51|942.8|73
Sydney|-33.86,151.21,38|+-0.0|Sunny|2014-01-09 12:30:32|877.1|13
Sydney|-33.86,151.21,38|+-0.0|Sunny|2014-01-10 23:02:39|928.2|9
Sydney|-33.86,151.21,38|-0.1|Snow|2014-01-11 23:35:53|714.2|31
Sydney|-33.86,151.21,38|+7.5|Sunny|2014-01-12 21:37:07|916.0|54
Sydney|-33.86,151.21,38|+0.7|Rain|2014-01-13 08:12:05|871.4|79
Sydney|-33.86,151.21,38|-4.8|Snow|2014-01-14 10:56:47|993.9|93
Sydney|-33.86,151.21,38|+10.5|Rain|2014-01-15 19:44:06|799.8|83
Sydney|-33.86,151.21,38|-3.9|Snow|2014-01-16 19:12:38|829.0|20
Sydney|-33.86,151.21,38|-1.3|Snow|2014-01-17 04:21:13|930.6|40
Sydney|-33.86,151.21,38|-1.0|Snow|2014-01-18 06:28:58|854.2|74
Sydney|-33.86,151.21,38|+6.3|Sunny|2014-01-19 07:40:54|845.1|9
Sydney|-33.86,151.21,38|+5.4|Rain|2014-01-20 14:27:30|836.3|97
Sydney|-33.86,151.21,38|+4.4|Sunny|2014-01-21 13:51:25|917.3|24
Sydney|-33.86,151.21,38|+11.0|Sunny|2014-01-22 14:20:25|892.8|19
Sydney|-33.86,151.21,38|-4.5|Snow|2014-01-23 12:51:30|833.6|24
Sydney|-33.86,151.21,38|+3.4|Rain|2014-01-24 22:19:12|967.1|85
Sydney|-33.86,151.21,38|+9.8|Rain|2014-01-25 14:14:13|918.6|84
Sydney|-33.86,151.21,38|+3.0|Rain|2014-01-26 06:49:47|878.7|75
Sydney|-33.86,151.21,38|+1.9|Sunny|2014-01-27 15:26:37|740.5|48
Sydney|-33.86,151.21,38|+13.4|Sunny|2014-01-28 03:12:50|922.0|3
Sydney|-33.86,151.21,38|+6.5|Sunny|2014-01-29 18:12:26|917.1|43
Sydney|-33.86,151.21,38|+14.4|Sunny|2014-01-30 08:19:33|853.8|53
Sydney|-33.86,151.21,38|+14.1|Rain|2014-01-31 11:48:00|965.5|85
Sydney|-33.86,151.21,38|+23.0|Sunny|2014-02-01 16:12:51|762.0|63
